2018-06-27 13:38:47.490135,"[6250, 1.1555500030517578]","[6250, 1.1677742004394531]","[6250, 1.0374889373779297]","[6250, 1.068086862564087]","[6250, 1.1243958473205566]","[6250, 1.1267509460449219]","[6250, 1.0224640369415283]","[6250, 1.0234839916229248]","[6250, 1.1184520721435547]","[6250, 0.8608729839324951]","[6250, 0.8523199558258057]","[6250, 1.3245069980621338]","[6250, 0.9538910388946533]","[6250, 1.1259510517120361]"
2018-06-27 13:39:02.476832,"[6500, 1.1202609539031982]","[6500, 1.635679006576538]","[6500, 0.9492080211639404]","[6500, 0.9945480823516846]","[6500, 1.2285120487213135]","[6500, 1.327876091003418]","[6500, 1.1272621154785156]","[6500, 1.2278878688812256]","[6500, 1.1612858772277832]","[6500, 0.9860498905181885]","[6500, 0.8362970352172852]","[6500, 0.8450031280517578]","[6500, 0.8773560523986816]","[6500, 1.6374430656433105]"
2018-06-27 13:39:18.449823,"[6750, 1.3280181884765625]","[6750, 1.121891975402832]","[6750, 1.2290592193603516]","[6750, 1.021867036819458]","[6750, 0.9847710132598877]","[6750, 0.9589219093322754]","[6750, 1.1260788440704346]","[6750, 1.1241111755371094]","[6750, 1.1252920627593994]","[6750, 1.124150037765503]","[6750, 0.9828400611877441]","[6750, 0.900371789932251]","[6750, 0.8742752075195312]","[6750, 1.0299749374389648]"
2018-06-27 13:39:33.403087,"[7000, 1.4803481101989746]","[7000, 0.8650481700897217]","[7000, 1.0243380069732666]","[7000, 1.1236732006072998]","[7000, 1.1273260116577148]","[7000, 1.021334171295166]","[7000, 1.079030990600586]","[7000, 1.1724638938903809]","[7000, 1.124906063079834]","[7000, 1.125551700592041]","[7000, 0.9204809665679932]","[7000, 0.9199259281158447]","[7000, 0.9217400550842285]","[7000, 1.126702070236206]"
2018-06-27 13:39:48.464420,"[7250, 1.1107418537139893]","[7250, 1.1241750717163086]","[7250, 1.2283680438995361]","[7250, 1.1256449222564697]","[7250, 1.0855798721313477]","[7250, 1.0168302059173584]","[7250, 1.1703259944915771]","[7250, 1.125596046447754]","[7250, 0.9205245971679688]","[7250, 0.9196028709411621]","[7250, 1.023711919784546]","[7250, 1.1257069110870361]","[7250, 1.1253559589385986]","[7250, 1.0968358516693115]"
2018-06-27 13:40:03.702352,"[7500, 0.9432518482208252]","[7500, 0.9087512493133545]","[7500, 0.9639220237731934]","[7500, 0.9729154109954834]","[7500, 0.9205970764160156]","[7500, 0.8705580234527588]","[7500, 0.9700808525085449]","[7500, 1.1271300315856934]","[7500, 1.2252259254455566]","[7500, 0.9204370975494385]","[7500, 1.1299629211425781]","[7500, 1.120631217956543]","[7500, 1.3315966129302979]","[7500, 1.2281649112701416]"
2018-06-27 13:40:18.371376,"[7750, 1.104586124420166]","[7750, 0.919187068939209]","[7750, 1.1261801719665527]","[7750, 1.1253862380981445]","[7750, 1.0221748352050781]","[7750, 0.9196631908416748]","[7750, 1.023583173751831]","[7750, 0.9205939769744873]","[7750, 1.1240417957305908]","[7750, 1.024794340133667]","[7750, 1.022660732269287]","[7750, 0.9203159809112549]","[7750, 1.1295039653778076]","[7750, 1.2269880771636963]"
2018-06-27 13:40:33.010109,"[8000, 1.1093189716339111]","[8000, 1.1246140003204346]","[8000, 0.9211351871490479]","[8000, 0.9761910438537598]","[8000, 0.9119932651519775]","[8000, 0.850053071975708]","[8000, 0.8665621280670166]","[8000, 1.2021219730377197]","[8000, 1.1249489784240723]","[8000, 0.9212508201599121]","[8000, 0.8628978729248047]","[8000, 0.8989760875701904]","[8000, 0.827085018157959]","[8000, 1.093296766281128]"
2018-06-27 13:40:46.730890,"[8250, 1.3248751163482666]","[8250, 1.2161779403686523]","[8250, 1.1272401809692383]","[8250, 1.2270002365112305]","[8250, 1.2275550365447998]","[8250, 1.0749568939208984]","[8250, 1.1745727062225342]","[8250, 0.920983076095581]","[8250, 1.1254079341888428]","[8250, 1.1244611740112305]","[8250, 0.9212007522583008]","[8250, 1.0228207111358643]","[8250, 1.126330852508545]","[8250, 1.1258370876312256]"
2018-06-27 13:41:02.492406,"[8500, 1.4242961406707764]","[8500, 1.1251740455627441]","[8500, 0.8985230922698975]","[8500, 1.1504549980163574]","[8500, 1.122831106185913]","[8500, 0.9868836402893066]","[8500, 0.9067089557647705]","[8500, 0.8856823444366455]","[8500, 0.9237051010131836]","[8500, 1.1031382083892822]","[8500, 1.126235008239746]","[8500, 0.9638628959655762]","[8500, 1.1126070022583008]","[8500, 1.2485458850860596]"
2018-06-27 13:41:17.493495,"[8750, 1.1014418601989746]","[8750, 0.8857688903808594]","[8750, 1.0248150825500488]","[8750, 1.2265949249267578]","[8750, 1.1242890357971191]","[8750, 0.8726129531860352]","[8750, 1.0494041442871094]","[8750, 0.8307180404663086]","[8750, 1.1346759796142578]","[8750, 0.9197471141815186]","[8750, 1.125999927520752]","[8750, 0.9202239513397217]","[8750, 1.1313180923461914]","[8750, 1.1204910278320312]"
2018-06-27 13:41:31.993417,"[9000, 1.4149723052978516]","[9000, 1.1249818801879883]","[9000, 0.9222991466522217]","[9000, 1.2267131805419922]","[9000, 1.2272288799285889]","[9000, 0.9916541576385498]","[9000, 1.010160207748413]","[9000, 0.9633998870849609]","[9000, 1.125905990600586]","[9000, 0.9720556735992432]","[9000, 0.9202537536621094]","[9000, 0.8933780193328857]","[9000, 0.8560056686401367]","[9000, 1.1657211780548096]"
2018-06-27 13:41:46.832127,"[9250, 1.4256670475006104]","[9250, 1.12431001663208]","[9250, 1.433218002319336]","[9250, 1.0218110084533691]","[9250, 0.919701099395752]","[9250, 0.9209110736846924]","[9250, 1.0775830745697021]","[9250, 1.1735517978668213]","[9250, 1.1234948635101318]","[9250, 1.0217251777648926]","[9250, 0.9210758209228516]","[9250, 1.1253790855407715]","[9250, 1.1571660041809082]","[9250, 1.094393014907837]"
